Posture,Muscle,Load,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,FDS,950,-1.16976175153855,-1.21896817423569,-0.66929798916092
MinorFlex,FDP,950,-0.57719933419125,-1.80443336153055,-0.73867013666005
MinorFlex,EDC,400,0.37310452276332,0.05247380519107,-0.01810067376298
MinorFlex,LU,45,-0.01358657150468,0.15172578463635,0.02423243871019
MinorFlex,RI,650,-0.53396712397736,0.35401911984625,0.04986909559116
MinorFlex,UI,500,-0.91662432643366,0.65560922898289,-0.5380931852939
MajorFlex,FDS,950,-1.09726713860531,-1.15021198535848,-0.71151091739655
MajorFlex,FDP,950,-0.2895551203704,-1.91978894287793,-0.70433252094204
MajorFlex,EDC,400,0.31359176391988,0.1248672686241,0.12544187272803
MajorFlex,LU,45,-0.1495546112728,0.15077331720364,0.15577355135928
MajorFlex,RI,650,-0.60946612383148,0.34953323219835,-0.06007783315094
MajorFlex,UI,500,-1.07112510940199,0.43241383136344,-0.3608127665285
HyperExt,FDS,950,-0.75597590612774,-1.97125479767776,-0.42350561283717
HyperExt,FDP,950,-0.43511222001768,-2.76413845460348,-0.23804560116186
HyperExt,EDC,400,0.5206782762911,-0.34412241888108,0.03401587548887
HyperExt,LU,45,0.26926859774853,0.25755795856335,0.13035114733755
HyperExt,RI,650,0.00643109943076,0.40272258485888,0.48649995831429
HyperExt,UI,500,-0.11165292573711,0.28632030564396,-0.40825563516725
Hook,FDS,950,-1.21960407412173,-1.712890361288,-0.31659455851626
Hook,FDP,950,-0.78931214820299,-2.55412160473833,-0.42430000159569
Hook,EDC,400,0.34674680913061,-0.23542759308044,-0.00101827434654
Hook,LU,45,-0.00204835152955,0.05857067649274,0.04638776554273
Hook,RI,650,-0.5952177242689,0.06215901621731,0.32584568211547
Hook,UI,500,-0.43991742422104,0.3343630689466,-0.58280214084396
